ID;Projeto;Estado de origem;Estado de destino;Data;Label;Valor (R$)
1435;Projeto fictício 1435 - Energia limpa;RS;RJ;2023-11-20;Pesquisa;5975572.90
1436;Projeto fictício 1436 - Saúde digital;BA;SP;2026-03-18;Validação;4197589.85
1437;Projeto fictício 1437 - Biotecnologia;MG;BA;2023-01-22;Pesquisa;4288096.66
1438;Projeto fictício 1438 - Indústria 4.0;AC;RS;2021-09-23;Desenvolvimento;2168932.01
1439;Projeto fictício 1439 - Saúde digital;RJ;SP;2024-12-21;Prototipagem;3047777.64
1440;Projeto fictício 1440 - Energia limpa;AC;BA;2025-04-04;Concluído;2264605.07
1441;Projeto fictício 1441 - Agricultura;GO;SP;2023-09-01;Concluído;1884734.10
1442;Projeto fictício 1442 - Indústria 4.0;DF;PE;2025-08-12;Prototipagem;4218069.46
1443;Projeto fictício 1443 - Biotecnologia;PE;AM;2023-07-18;Validação;2712191.95
1444;Projeto fictício 1444 - Saúde digital;AC;GO;2023-04-05;Validação;5194933.83
1445;Projeto fictício 1445 - Biotecnologia;SP;MG;2021-11-07;Desenvolvimento;5228177.82
1446;Projeto fictício 1446 - Biotecnologia;MG;SP;2021-06-21;Prototipagem;3702657.15
1447;Projeto fictício 1447 - Agricultura;RS;PE;2021-09-28;Prototipagem;708703.51
1448;Projeto fictício 1448 - Biotecnologia;AC;RJ;2026-02-22;Concluído;4372087.14
1449;Projeto fictício 1449 - Agricultura;MG;CE;2024-03-07;Desenvolvimento;100402.30
1450;Projeto fictício 1450 - Indústria 4.0;GO;RJ;2026-06-15;Concluído;659101.96
1451;Projeto fictício 1451 - Indústria 4.0;CE;AC;2022-02-27;Prototipagem;1255921.00
1452;Projeto fictício 1452 - Indústria 4.0;PE;MG;2021-05-25;Prototipagem;5562537.46
1453;Projeto fictício 1453 - Biotecnologia;GO;SP;2026-04-19;Concluído;1036037.13
1454;Projeto fictício 1454 - Agricultura;PE;RJ;2023-07-23;Validação;4401961.59
1455;Projeto fictício 1455 - Energia limpa;RJ;RS;2026-04-26;Pesquisa;1262894.73
1456;Projeto fictício 1456 - Indústria 4.0;DF;MG;2022-06-10;Pesquisa;4579301.63
1457;Projeto fictício 1457 - Saúde digital;BA;DF;2022-01-10;Validação;2537165.10
1458;Projeto fictício 1458 - Saúde digital;GO;AC;2023-10-12;Pesquisa;2656215.67
1459;Projeto fictício 1459 - Energia limpa;RS;AM;2022-03-03;Prototipagem;1196267.53
1460;Projeto fictício 1460 - Energia limpa;CE;RS;2021-08-31;Concluído;4853377.96
1461;Projeto fictício 1461 - Saúde digital;CE;RS;2023-04-28;Desenvolvimento;4972921.86
1462;Projeto fictício 1462 - Biotecnologia;GO;AM;2023-05-03;Validação;396719.28
1463;Projeto fictício 1463 - Agricultura;RJ;BA;2024-01-10;Pesquisa;3485528.68
1464;Projeto fictício 1464 - Agricultura;PR;PR;2025-10-05;Pesquisa;1041931.46
1465;Projeto fictício 1465 - Agricultura;PE;CE;2022-05-27;Desenvolvimento;393663.81
1466;Projeto fictício 1466 - Energia limpa;MG;BA;2021-02-16;Validação;3724379.38
1467;Projeto fictício 1467 - Indústria 4.0;PR;MG;2024-03-10;Desenvolvimento;3718735.99
1468;Projeto fictício 1468 - Energia limpa;CE;DF;2022-09-17;Prototipagem;3928103.21
1469;Projeto fictício 1469 - Biotecnologia;RJ;BA;2021-10-21;Prototipagem;5290770.53
1470;Projeto fictício 1470 - Indústria 4.0;BA;PE;2024-02-13;Concluído;1020687.28
1471;Projeto fictício 1471 - Saúde digital;BA;AM;2022-05-10;Concluído;5591264.78
1472;Projeto fictício 1472 - Energia limpa;AM;CE;2023-11-03;Validação;3657136.81
1473;Projeto fictício 1473 - Energia limpa;DF;BA;2023-05-09;Pesquisa;1817663.76
1474;Projeto fictício 1474 - Indústria 4.0;GO;PR;2024-09-25;Desenvolvimento;5802878.21
1475;Projeto fictício 1475 - Indústria 4.0;SP;BA;2022-05-02;Concluído;2648918.15
1476;Projeto fictício 1476 - Saúde digital;RS;RS;2021-08-28;Desenvolvimento;5631707.39
1477;Projeto fictício 1477 - Indústria 4.0;RS;AM;2026-09-07;Concluído;5676238.84
1478;Projeto fictício 1478 - Indústria 4.0;GO;CE;2025-05-09;Concluído;2027207.85
1479;Projeto fictício 1479 - Agricultura;SP;PR;2024-01-29;Pesquisa;1341917.17
1480;Projeto fictício 1480 - Energia limpa;MG;PR;2025-11-17;Pesquisa;2804046.30
1481;Projeto fictício 1481 - Biotecnologia;BA;PR;2023-10-20;Pesquisa;2790005.47
1482;Projeto fictício 1482 - Energia limpa;GO;RJ;2021-09-30;Pesquisa;3462481.09
1483;Projeto fictício 1483 - Agricultura;SP;CE;2022-11-06;Validação;4645512.47
1484;Projeto fictício 1484 - Biotecnologia;BA;AM;2026-03-25;Prototipagem;4571325.54
1485;Projeto fictício 1485 - Indústria 4.0;PR;PE;2021-01-21;Desenvolvimento;3307076.88
1486;Projeto fictício 1486 - Biotecnologia;BA;CE;2023-11-23;Prototipagem;4820171.86
1487;Projeto fictício 1487 - Biotecnologia;BA;MG;2022-02-18;Desenvolvimento;2091178.07
1488;Projeto fictício 1488 - Energia limpa;PR;BA;2024-11-15;Pesquisa;874460.47
1489;Projeto fictício 1489 - Energia limpa;BA;RS;2025-03-16;Validação;621635.78
1490;Projeto fictício 1490 - Agricultura;RS;RJ;2022-03-31;Validação;3975292.70
1491;Projeto fictício 1491 - Energia limpa;MG;AM;2026-07-03;Desenvolvimento;5195065.09
1492;Projeto fictício 1492 - Saúde digital;RJ;PR;2025-07-12;Desenvolvimento;1134944.65
1493;Projeto fictício 1493 - Energia limpa;CE;SP;2025-03-23;Prototipagem;2455919.19
1494;Projeto fictício 1494 - Biotecnologia;SP;RJ;2022-12-31;Pesquisa;2804265.76
1495;Projeto fictício 1495 - Biotecnologia;DF;RJ;2023-06-05;Validação;3391568.21
1496;Projeto fictício 1496 - Biotecnologia;PR;AM;2026-09-14;Prototipagem;1809333.36
1497;Projeto fictício 1497 - Energia limpa;RJ;MG;2024-01-08;Concluído;2904486.49
1498;Projeto fictício 1498 - Energia limpa;AC;RJ;2026-01-23;Pesquisa;2917899.30
1499;Projeto fictício 1499 - Biotecnologia;SP;GO;2025-12-13;Prototipagem;4787017.19
1500;Projeto fictício 1500 - Energia limpa;AM;RS;2024-04-22;Validação;2341311.10
1501;Projeto fictício 1501 - Indústria 4.0;RS;PR;2024-07-22;Pesquisa;2864786.52
1502;Projeto fictício 1502 - Agricultura;PR;RJ;2023-04-22;Desenvolvimento;2934867.64
1503;Projeto fictício 1503 - Saúde digital;RJ;RS;2023-10-11;Validação;4336067.82
1504;Projeto fictício 1504 - Saúde digital;PE;BA;2026-02-26;Prototipagem;696542.61
1505;Projeto fictício 1505 - Indústria 4.0;RS;AM;2025-12-17;Pesquisa;5955122.87
1506;Projeto fictício 1506 - Indústria 4.0;GO;RS;2026-02-28;Prototipagem;406378.71
1507;Projeto fictício 1507 - Indústria 4.0;PR;SP;2022-07-25;Validação;2852104.70
1508;Projeto fictício 1508 - Indústria 4.0;BA;PR;2022-06-19;Validação;1072368.05
1509;Projeto fictício 1509 - Energia limpa;PE;GO;2026-05-08;Prototipagem;1088280.74
1510;Projeto fictício 1510 - Energia limpa;CE;PR;2021-05-18;Pesquisa;1022544.68
1511;Projeto fictício 1511 - Indústria 4.0;RJ;PE;2026-02-21;Concluído;1678271.38
1512;Projeto fictício 1512 - Indústria 4.0;BA;DF;2025-07-28;Concluído;2189256.35
1513;Projeto fictício 1513 - Saúde digital;PE;DF;2024-10-13;Pesquisa;1524976.98
1514;Projeto fictício 1514 - Indústria 4.0;AC;DF;2021-11-15;Prototipagem;5137273.96
1515;Projeto fictício 1515 - Saúde digital;PE;DF;2021-12-22;Validação;5467293.05
1516;Projeto fictício 1516 - Biotecnologia;AM;DF;2025-04-24;Pesquisa;5070157.36
1517;Projeto fictício 1517 - Agricultura;GO;AC;2025-05-02;Concluído;1902864.43
1518;Projeto fictício 1518 - Biotecnologia;SP;SP;2023-11-18;Validação;2194603.15
1519;Projeto fictício 1519 - Biotecnologia;AC;MG;2022-03-25;Concluído;5063062.97
1520;Projeto fictício 1520 - Biotecnologia;GO;GO;2022-03-31;Desenvolvimento;1394021.24
1521;Projeto fictício 1521 - Energia limpa;AM;BA;2024-03-11;Desenvolvimento;1506896.01
1522;Projeto fictício 1522 - Indústria 4.0;GO;PR;2021-01-08;Concluído;2889505.39
1523;Projeto fictício 1523 - Indústria 4.0;AM;PR;2025-11-10;Prototipagem;709138.21
1524;Projeto fictício 1524 - Agricultura;AM;CE;2021-05-19;Concluído;3064983.54
1525;Projeto fictício 1525 - Biotecnologia;RS;AM;2024-02-26;Pesquisa;544975.46
1526;Projeto fictício 1526 - Indústria 4.0;PE;CE;2023-01-17;Concluído;728329.03
1527;Projeto fictício 1527 - Biotecnologia;MG;DF;2021-04-16;Concluído;3304099.47
1528;Projeto fictício 1528 - Agricultura;AC;GO;2026-07-31;Validação;692670.12
1529;Projeto fictício 1529 - Energia limpa;MG;AM;2024-10-22;Prototipagem;656939.01
1530;Projeto fictício 1530 - Energia limpa;AM;GO;2024-03-08;Concluído;2827744.94
1531;Projeto fictício 1531 - Saúde digital;PE;DF;2022-10-19;Concluído;582644.32
1532;Projeto fictício 1532 - Energia limpa;GO;GO;2023-01-03;Concluído;5271807.28
1533;Projeto fictício 1533 - Biotecnologia;SP;PR;2026-07-15;Prototipagem;992197.54
1534;Projeto fictício 1534 - Energia limpa;CE;CE;2024-11-22;Pesquisa;726280.47
1535;Projeto fictício 1535 - Saúde digital;PE;SP;2025-07-15;Desenvolvimento;1395589.76
1536;Projeto fictício 1536 - Energia limpa;SP;AC;2026-09-15;Concluído;4674461.05
1537;Projeto fictício 1537 - Agricultura;AM;CE;2022-09-06;Pesquisa;80186.42
1538;Projeto fictício 1538 - Agricultura;RJ;DF;2021-03-29;Validação;1371076.37
1539;Projeto fictício 1539 - Saúde digital;AC;DF;2022-06-20;Validação;5871609.39
1540;Projeto fictício 1540 - Agricultura;CE;AC;2023-01-26;Prototipagem;4038935.15
1541;Projeto fictício 1541 - Agricultura;GO;AM;2024-11-16;Validação;3531148.40
1542;Projeto fictício 1542 - Energia limpa;SP;AM;2021-08-15;Validação;2855826.76
1543;Projeto fictício 1543 - Biotecnologia;GO;CE;2021-01-27;Pesquisa;544493.39
1544;Projeto fictício 1544 - Energia limpa;MG;AC;2023-02-04;Prototipagem;1270235.43
1545;Projeto fictício 1545 - Biotecnologia;DF;CE;2021-01-11;Desenvolvimento;3462853.28
1546;Projeto fictício 1546 - Agricultura;RS;PR;2025-03-30;Pesquisa;2961506.99
1547;Projeto fictício 1547 - Indústria 4.0;MG;MG;2021-02-28;Pesquisa;4476996.75
1548;Projeto fictício 1548 - Agricultura;DF;PR;2022-06-19;Validação;3526030.87
1549;Projeto fictício 1549 - Indústria 4.0;GO;PE;2023-11-30;Concluído;5987550.01
1550;Projeto fictício 1550 - Biotecnologia;RJ;MG;2022-05-24;Prototipagem;1115522.42
1551;Projeto fictício 1551 - Indústria 4.0;RS;MG;2025-01-05;Concluído;1020778.69
1552;Projeto fictício 1552 - Saúde digital;MG;RJ;2022-04-09;Pesquisa;3669681.24
1553;Projeto fictício 1553 - Indústria 4.0;RS;PR;2023-03-03;Pesquisa;4862314.12
1554;Projeto fictício 1554 - Indústria 4.0;CE;SP;2025-08-03;Validação;4390128.62
1555;Projeto fictício 1555 - Agricultura;MG;RJ;2023-05-15;Desenvolvimento;1207320.81
1556;Projeto fictício 1556 - Agricultura;PR;RJ;2023-04-25;Desenvolvimento;4934657.63
1557;Projeto fictício 1557 - Indústria 4.0;CE;GO;2021-09-04;Pesquisa;4539105.59
1558;Projeto fictício 1558 - Agricultura;CE;AC;2021-06-03;Validação;160328.60
1559;Projeto fictício 1559 - Saúde digital;RS;DF;2026-05-08;Pesquisa;327931.03
1560;Projeto fictício 1560 - Biotecnologia;RJ;MG;2026-01-14;Validação;2723106.35
1561;Projeto fictício 1561 - Indústria 4.0;GO;BA;2024-03-08;Prototipagem;62742.66
1562;Projeto fictício 1562 - Indústria 4.0;GO;DF;2025-04-13;Concluído;1203509.71
1563;Projeto fictício 1563 - Biotecnologia;DF;AM;2022-12-02;Concluído;2901827.12
1564;Projeto fictício 1564 - Indústria 4.0;MG;DF;2022-09-04;Desenvolvimento;398294.17
1565;Projeto fictício 1565 - Agricultura;MG;GO;2023-11-11;Validação;2193166.99
1566;Projeto fictício 1566 - Agricultura;BA;SP;2023-01-20;Prototipagem;2551659.63
1567;Projeto fictício 1567 - Saúde digital;DF;AM;2022-03-04;Prototipagem;592184.78
1568;Projeto fictício 1568 - Saúde digital;RS;RS;2025-10-14;Validação;3314423.78
1569;Projeto fictício 1569 - Indústria 4.0;MG;RJ;2023-05-28;Desenvolvimento;3547471.02
1570;Projeto fictício 1570 - Saúde digital;AC;RJ;2022-06-27;Concluído;3848806.51
1571;Projeto fictício 1571 - Energia limpa;DF;AC;2024-12-18;Desenvolvimento;4723521.58
1572;Projeto fictício 1572 - Saúde digital;SP;AC;2021-03-28;Concluído;3486322.46
1573;Projeto fictício 1573 - Energia limpa;CE;BA;2024-11-11;Concluído;984471.85
1574;Projeto fictício 1574 - Indústria 4.0;SP;RJ;2024-12-15;Prototipagem;178439.72
1575;Projeto fictício 1575 - Saúde digital;AC;BA;2022-07-18;Prototipagem;1420481.25
1576;Projeto fictício 1576 - Biotecnologia;PR;GO;2021-01-28;Desenvolvimento;5675472.11
1577;Projeto fictício 1577 - Indústria 4.0;CE;GO;2025-09-18;Concluído;2877516.26
1578;Projeto fictício 1578 - Saúde digital;DF;DF;2024-09-26;Pesquisa;1429273.33
1579;Projeto fictício 1579 - Biotecnologia;SP;RJ;2022-09-11;Concluído;273018.74
1580;Projeto fictício 1580 - Saúde digital;AC;GO;2026-03-09;Validação;5225576.61
1581;Projeto fictício 1581 - Agricultura;PR;DF;2025-03-13;Prototipagem;1397435.37
1582;Projeto fictício 1582 - Energia limpa;PE;BA;2025-12-14;Validação;4548582.98
1583;Projeto fictício 1583 - Biotecnologia;AM;PR;2026-05-25;Concluído;5269632.59
1584;Projeto fictício 1584 - Indústria 4.0;CE;RS;2023-06-19;Desenvolvimento;1941537.42
1585;Projeto fictício 1585 - Indústria 4.0;BA;DF;2026-09-13;Pesquisa;4326433.58
1586;Projeto fictício 1586 - Indústria 4.0;SP;RJ;2022-04-23;Validação;5186368.72
1587;Projeto fictício 1587 - Saúde digital;PE;AM;2025-12-21;Desenvolvimento;3821004.84
1588;Projeto fictício 1588 - Indústria 4.0;MG;MG;2024-12-05;Pesquisa;5890577.26
1589;Projeto fictício 1589 - Indústria 4.0;MG;AM;2022-07-30;Validação;4946294.19
1590;Projeto fictício 1590 - Indústria 4.0;AM;PE;2023-11-18;Validação;5704126.85
1591;Projeto fictício 1591 - Agricultura;GO;CE;2023-05-03;Validação;2124255.97
1592;Projeto fictício 1592 - Saúde digital;PR;RJ;2026-05-02;Prototipagem;4852895.13
1593;Projeto fictício 1593 - Biotecnologia;AM;SP;2021-03-20;Pesquisa;3581902.17
1594;Projeto fictício 1594 - Saúde digital;AM;AC;2022-08-11;Validação;752034.00
1595;Projeto fictício 1595 - Agricultura;SP;DF;2022-06-25;Pesquisa;384989.21
1596;Projeto fictício 1596 - Energia limpa;RS;BA;2026-02-23;Desenvolvimento;5883662.46
1597;Projeto fictício 1597 - Indústria 4.0;AM;AC;2021-10-04;Concluído;1927022.89
1598;Projeto fictício 1598 - Agricultura;RJ;SP;2025-03-07;Validação;5339050.04
1599;Projeto fictício 1599 - Agricultura;AC;GO;2021-01-26;Concluído;4681452.01
1600;Projeto fictício 1600 - Agricultura;CE;CE;2024-10-11;Prototipagem;4629774.65
1601;Projeto fictício 1601 - Indústria 4.0;PR;MG;2021-01-16;Concluído;1310892.25
1602;Projeto fictício 1602 - Indústria 4.0;DF;AM;2024-07-21;Validação;5487096.23
1603;Projeto fictício 1603 - Biotecnologia;RS;AM;2023-04-28;Validação;2493068.86
1604;Projeto fictício 1604 - Energia limpa;RJ;PR;2021-02-14;Pesquisa;5086682.20
1605;Projeto fictício 1605 - Saúde digital;CE;PR;2022-12-13;Prototipagem;846675.26
1606;Projeto fictício 1606 - Energia limpa;DF;AC;2022-04-17;Concluído;4944735.68
1607;Projeto fictício 1607 - Indústria 4.0;RJ;CE;2024-11-07;Desenvolvimento;3123833.57
1608;Projeto fictício 1608 - Energia limpa;SP;AM;2021-01-17;Concluído;5383887.06
1609;Projeto fictício 1609 - Saúde digital;RJ;PR;2024-09-09;Validação;2849922.10
1610;Projeto fictício 1610 - Agricultura;CE;RS;2024-09-27;Validação;5235894.52
1611;Projeto fictício 1611 - Energia limpa;PE;AM;2024-01-29;Prototipagem;750172.56
1612;Projeto fictício 1612 - Energia limpa;GO;DF;2024-06-24;Prototipagem;4384143.36
1613;Projeto fictício 1613 - Agricultura;GO;DF;2021-08-15;Desenvolvimento;605468.24
1614;Projeto fictício 1614 - Biotecnologia;CE;GO;2026-08-02;Pesquisa;2480696.99
1615;Projeto fictício 1615 - Biotecnologia;RJ;AC;2024-11-30;Pesquisa;984695.60
1616;Projeto fictício 1616 - Indústria 4.0;CE;SP;2021-02-25;Pesquisa;4278322.26
1617;Projeto fictício 1617 - Indústria 4.0;GO;GO;2024-08-01;Prototipagem;3648514.76
1618;Projeto fictício 1618 - Agricultura;MG;PR;2023-08-25;Concluído;1357242.77
1619;Projeto fictício 1619 - Biotecnologia;CE;AC;2026-05-10;Prototipagem;986336.59
1620;Projeto fictício 1620 - Biotecnologia;RS;AC;2021-02-07;Desenvolvimento;2025167.51
1621;Projeto fictício 1621 - Agricultura;BA;CE;2024-02-05;Pesquisa;2417429.55
1622;Projeto fictício 1622 - Indústria 4.0;CE;SP;2025-03-30;Pesquisa;1549761.04
1623;Projeto fictício 1623 - Biotecnologia;GO;BA;2022-03-04;Desenvolvimento;584413.85
1624;Projeto fictício 1624 - Energia limpa;AC;GO;2025-09-26;Concluído;361781.41
1625;Projeto fictício 1625 - Energia limpa;CE;CE;2025-12-06;Prototipagem;284482.76
1626;Projeto fictício 1626 - Energia limpa;CE;RJ;2021-12-07;Desenvolvimento;2837938.69
1627;Projeto fictício 1627 - Biotecnologia;PR;BA;2026-07-18;Prototipagem;3925953.61
1628;Projeto fictício 1628 - Energia limpa;GO;AM;2023-12-18;Concluído;2000380.75
1629;Projeto fictício 1629 - Indústria 4.0;GO;MG;2024-02-29;Desenvolvimento;2744418.16
1630;Projeto fictício 1630 - Biotecnologia;PE;DF;2024-11-06;Validação;306812.22
1631;Projeto fictício 1631 - Energia limpa;AM;AM;2025-03-08;Validação;836770.90
1632;Projeto fictício 1632 - Energia limpa;DF;PE;2025-05-05;Concluído;941857.67
1633;Projeto fictício 1633 - Indústria 4.0;PE;DF;2024-03-01;Prototipagem;4379765.84
1634;Projeto fictício 1634 - Indústria 4.0;MG;PE;2024-02-16;Validação;1756349.81
1635;Projeto fictício 1635 - Biotecnologia;RS;GO;2024-02-01;Prototipagem;4763218.73
1636;Projeto fictício 1636 - Energia limpa;PR;BA;2025-01-08;Concluído;2022115.24
1637;Projeto fictício 1637 - Indústria 4.0;RJ;PR;2021-04-22;Desenvolvimento;3575065.83
1638;Projeto fictício 1638 - Energia limpa;AC;GO;2021-11-14;Validação;3926066.40
1639;Projeto fictício 1639 - Indústria 4.0;BA;GO;2022-08-20;Validação;5482887.60
1640;Projeto fictício 1640 - Agricultura;RJ;SP;2023-11-27;Desenvolvimento;2126644.97
1641;Projeto fictício 1641 - Energia limpa;RS;GO;2022-12-03;Desenvolvimento;3953600.10
1642;Projeto fictício 1642 - Agricultura;PR;PE;2024-07-31;Prototipagem;3403672.80
1643;Projeto fictício 1643 - Indústria 4.0;PE;CE;2025-11-14;Concluído;238335.96
1644;Projeto fictício 1644 - Energia limpa;CE;MG;2024-12-11;Desenvolvimento;1313059.43
1645;Projeto fictício 1645 - Saúde digital;MG;RS;2023-06-16;Pesquisa;1505390.08
1646;Projeto fictício 1646 - Energia limpa;DF;PE;2025-06-09;Pesquisa;2034084.23
1647;Projeto fictício 1647 - Saúde digital;PE;DF;2022-04-04;Pesquisa;983795.51
1648;Projeto fictício 1648 - Saúde digital;BA;DF;2021-10-30;Pesquisa;2523060.27
1649;Projeto fictício 1649 - Saúde digital;SP;DF;2023-07-28;Desenvolvimento;881990.03
1650;Projeto fictício 1650 - Biotecnologia;MG;AC;2022-03-05;Prototipagem;3280079.81
1651;Projeto fictício 1651 - Agricultura;AC;PE;2023-05-10;Concluído;5663655.56
1652;Projeto fictício 1652 - Biotecnologia;PE;BA;2026-05-10;Pesquisa;4593416.84
1653;Projeto fictício 1653 - Indústria 4.0;SP;RJ;2024-12-06;Validação;3725642.96
1654;Projeto fictício 1654 - Indústria 4.0;PE;AC;2024-12-04;Concluído;5453223.98
1655;Projeto fictício 1655 - Indústria 4.0;DF;GO;2022-05-11;Validação;3719903.87
1656;Projeto fictício 1656 - Agricultura;BA;MG;2026-05-30;Prototipagem;2261809.35
1657;Projeto fictício 1657 - Agricultura;AC;PE;2022-02-20;Concluído;5409564.47
1658;Projeto fictício 1658 - Energia limpa;GO;BA;2024-06-11;Desenvolvimento;3999674.71
1659;Projeto fictício 1659 - Agricultura;AC;AM;2023-03-27;Concluído;1433215.65
1660;Projeto fictício 1660 - Indústria 4.0;AM;SP;2023-07-31;Validação;5905006.72
1661;Projeto fictício 1661 - Indústria 4.0;RJ;SP;2022-08-09;Pesquisa;3713237.41
1662;Projeto fictício 1662 - Biotecnologia;CE;GO;2021-09-20;Prototipagem;3548733.33
1663;Projeto fictício 1663 - Saúde digital;BA;RS;2026-08-05;Desenvolvimento;256212.15
1664;Projeto fictício 1664 - Saúde digital;MG;PR;2021-11-12;Desenvolvimento;2360248.51
1665;Projeto fictício 1665 - Saúde digital;RS;PE;2025-08-23;Validação;2631794.12
1666;Projeto fictício 1666 - Saúde digital;GO;GO;2021-08-02;Concluído;4848636.93
1667;Projeto fictício 1667 - Agricultura;BA;BA;2021-11-04;Prototipagem;1681199.03
1668;Projeto fictício 1668 - Indústria 4.0;RJ;MG;2022-06-22;Validação;5599012.39
1669;Projeto fictício 1669 - Agricultura;MG;SP;2023-03-13;Concluído;5904894.96
1670;Projeto fictício 1670 - Indústria 4.0;PE;MG;2025-01-16;Concluído;2487360.13
1671;Projeto fictício 1671 - Biotecnologia;MG;AC;2024-12-21;Concluído;3717291.36
1672;Projeto fictício 1672 - Energia limpa;PE;SP;2022-11-13;Prototipagem;3594367.06
1673;Projeto fictício 1673 - Biotecnologia;SP;BA;2021-07-10;Pesquisa;1511375.88
1674;Projeto fictício 1674 - Indústria 4.0;MG;SP;2023-05-29;Concluído;1268600.11
1675;Projeto fictício 1675 - Saúde digital;MG;CE;2022-06-12;Validação;611376.32
1676;Projeto fictício 1676 - Energia limpa;AM;CE;2025-09-27;Pesquisa;5818746.97
1677;Projeto fictício 1677 - Energia limpa;PE;DF;2022-03-27;Validação;5770773.58
1678;Projeto fictício 1678 - Agricultura;SP;MG;2024-08-05;Validação;3664873.23
1679;Projeto fictício 1679 - Energia limpa;CE;BA;2026-09-16;Concluído;5688805.04
1680;Projeto fictício 1680 - Saúde digital;RJ;PR;2023-03-31;Pesquisa;3124467.99
1681;Projeto fictício 1681 - Saúde digital;AC;RS;2022-10-02;Desenvolvimento;2533099.44
1682;Projeto fictício 1682 - Indústria 4.0;PE;PR;2026-02-05;Pesquisa;4655506.84
1683;Projeto fictício 1683 - Biotecnologia;RS;PR;2023-04-26;Concluído;4517281.35
1684;Projeto fictício 1684 - Energia limpa;CE;CE;2024-05-24;Pesquisa;91213.57
1685;Projeto fictício 1685 - Agricultura;PR;PR;2023-11-25;Concluído;3736476.45
1686;Projeto fictício 1686 - Energia limpa;PR;PE;2025-02-06;Pesquisa;2347049.46
1687;Projeto fictício 1687 - Biotecnologia;CE;GO;2023-04-16;Desenvolvimento;4619932.89
1688;Projeto fictício 1688 - Agricultura;BA;RJ;2021-01-19;Pesquisa;4777137.52
1689;Projeto fictício 1689 - Indústria 4.0;SP;RJ;2026-03-02;Prototipagem;335890.52
1690;Projeto fictício 1690 - Indústria 4.0;PR;MG;2025-09-20;Concluído;1867951.30
1691;Projeto fictício 1691 - Agricultura;RJ;AC;2026-08-06;Pesquisa;5363099.69
1692;Projeto fictício 1692 - Energia limpa;DF;RS;2024-01-27;Desenvolvimento;5697824.23
1693;Projeto fictício 1693 - Biotecnologia;AM;RS;2024-12-01;Prototipagem;716421.48
1694;Projeto fictício 1694 - Biotecnologia;GO;RJ;2023-03-27;Pesquisa;1134145.28
1695;Projeto fictício 1695 - Agricultura;SP;CE;2023-03-26;Concluído;5934077.70
1696;Projeto fictício 1696 - Biotecnologia;AC;AM;2022-10-21;Prototipagem;607870.75
1697;Projeto fictício 1697 - Saúde digital;BA;DF;2021-10-09;Pesquisa;3437204.02
1698;Projeto fictício 1698 - Saúde digital;MG;AC;2025-09-26;Concluído;4502860.18
1699;Projeto fictício 1699 - Agricultura;RJ;SP;2023-02-17;Pesquisa;2749014.55
1700;Projeto fictício 1700 - Saúde digital;PR;DF;2026-05-12;Prototipagem;1146350.49
1701;Projeto fictício 1701 - Agricultura;CE;AC;2024-08-19;Concluído;1638215.90
1702;Projeto fictício 1702 - Energia limpa;GO;RS;2024-07-22;Pesquisa;4046041.39
1703;Projeto fictício 1703 - Biotecnologia;CE;SP;2025-08-14;Prototipagem;3004126.97
1704;Projeto fictício 1704 - Agricultura;PR;RJ;2021-12-11;Validação;3062691.08
1705;Projeto fictício 1705 - Indústria 4.0;RS;GO;2026-02-01;Pesquisa;3456368.64
1706;Projeto fictício 1706 - Energia limpa;BA;SP;2024-08-21;Prototipagem;5952387.31
1707;Projeto fictício 1707 - Agricultura;RJ;PR;2026-01-13;Concluído;3814550.57
1708;Projeto fictício 1708 - Biotecnologia;CE;SP;2021-05-15;Desenvolvimento;1557731.45
1709;Projeto fictício 1709 - Biotecnologia;SP;PE;2023-07-08;Pesquisa;3193635.29
1710;Projeto fictício 1710 - Energia limpa;RS;BA;2026-02-16;Pesquisa;1639468.46
1711;Projeto fictício 1711 - Agricultura;BA;CE;2024-03-12;Pesquisa;311392.77
1712;Projeto fictício 1712 - Saúde digital;GO;SP;2026-07-10;Desenvolvimento;768460.88
1713;Projeto fictício 1713 - Biotecnologia;CE;AM;2024-09-14;Prototipagem;2332109.77
1714;Projeto fictício 1714 - Energia limpa;MG;SP;2021-07-13;Concluído;864288.41
1715;Projeto fictício 1715 - Energia limpa;DF;SP;2021-12-17;Pesquisa;2381519.63
1716;Projeto fictício 1716 - Biotecnologia;CE;RJ;2026-01-11;Desenvolvimento;1646806.48
1717;Projeto fictício 1717 - Agricultura;AC;RS;2023-08-20;Pesquisa;238986.42
1718;Projeto fictício 1718 - Energia limpa;RS;CE;2023-06-11;Validação;634608.98
1719;Projeto fictício 1719 - Energia limpa;MG;CE;2026-07-16;Prototipagem;3092141.01
1720;Projeto fictício 1720 - Energia limpa;PR;PE;2024-06-28;Pesquisa;4031487.01
1721;Projeto fictício 1721 - Agricultura;GO;MG;2022-05-20;Pesquisa;5630328.54
1722;Projeto fictício 1722 - Energia limpa;GO;GO;2025-05-26;Desenvolvimento;1523431.48
1723;Projeto fictício 1723 - Energia limpa;PE;GO;2024-01-14;Prototipagem;4734691.55
1724;Projeto fictício 1724 - Saúde digital;GO;BA;2024-04-12;Desenvolvimento;5942745.70
1725;Projeto fictício 1725 - Biotecnologia;AC;RS;2023-11-06;Validação;5452545.39
1726;Projeto fictício 1726 - Saúde digital;MG;SP;2021-02-02;Validação;3647070.16
