Título Público do Projeto;Descrição;Status do Projeto;Empresa Contratante;Porte da Empresa;UF da Empresa;Projetos Contratados;Segmento CEIS;Data de Inicio;Unidade Embrapii;TRL - Inicial;TRL - Final;Área de Aplicação - Nível 1;Área de Aplicação - Nível 2;Tecnológia Habilitadora - Nível 1;Tecnológia Habilitadora - Nível 2
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;ELDORADO BRASIL CELULOSE S/A;Grande;MS;8;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;CMPC CELULOSE RIOGRANDENSE LTDA;Grande;RS;21;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;ARCELORMITTAL BIOFLORESTAS LTDA.;Grande;MG;5;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;AB FLORESTAL EMPREENDIMENTOS IMOBILIARIOS,ATIVIDADES FLORESTAIS E PARTICIPACOES LTDA;Grande;MG;3;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;BRACELL BAHIA FLORESTAL LTDA;Grande;BA;13;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;SUZANO PAPEL E CELULOSE S.A.;Grande;BA;22;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;MINASLIGAS S.A.;Grande;MG;3;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;APERAM BIOENERGIA LTDA.;Grande;MG;3;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;VERACEL CELULOSE S.A.;Grande;BA;9;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;CELULOSE NIPO BRASILEIRA S A CENIBRA;Grande;MG;12;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a seca UFV;O Projeto Cooperativo Tolerância a Seca UFV tem o objetivo e desenvolver genótipos tolerantes ao déficit hídrico (progênies e clones) e que possuam produtividade igual ou superior aos materiais genéticos atualmente disponíveis para plantio nas grandes empresas do setor florestal brasileiro.;Concluído;DURATEX FLORESTAL LTDA;Grande;SP;3;Não é CEIS;01/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Desenvolvimento de aço para aplicação em manufatura aditiva;Desenvolver um aço para ser utilizado na Manufatura Aditiva.;Concluído;ARCELORMITTAL BRASIL S.A.;Grande;MG;52;Não é CEIS;14/09/2020;SENAI ISI LIGAS ESPECIAIS;4;4;Indústria de base;Indústria siderúrgica e metalúrgica;Manufatura e materiais avançados;Metais Avançados e Ligas Especiais
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;GERDAU ACOS LONGOS S.A.;Grande;RJ;8;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;CMPC CELULOSE RIOGRANDENSE LTDA;Grande;RS;21;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;ARCELORMITTAL BIOFLORESTAS LTDA.;Grande;MG;5;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;BRACELL BAHIA FLORESTAL LTDA;Grande;BA;13;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;SUZANO PAPEL E CELULOSE S.A.;Grande;BA;22;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;CELULOSE NIPO BRASILEIRA S A CENIBRA;Grande;MG;12;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
Projeto estufim UFV;O presente projeto tem como objetivo determinar as bases fisiológicas relacionadas com o desenvolvimento de mudas em estufim, estabelecendo critérios mais objetivos para a realização do manejo.;Concluído;RIGESA CELULOSE PAPEL E EMBALAGENS LTDA;Média;SC;2;Não é CEIS;11/03/2021;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Instrumentação e Sistemas Embarcados;Sistemas Embarcados
DESENVOLVIMENTO DE NANODISPERSÃO PARA POLIMENTO DE PORCELANATO CERÂMICO;"Desenvolvimento de nanodispersão com desempenho adequado de aplicação (estabilidade mecânica) para superfícies polidas de esmaltes cerâmicos e porcelanatos. A nanodispersão tem que possuir estabilidade coloidal e mecânica para aplicação na etapa do polimento do porcelanato cerâmico, via preenchimento dos poros abertos com a finalidade de obter porcelanatos esmaltados tecnicamente mais resistentes ao manchamento, com maior facilidade de limpeza e maior brilho superficial. A nanodispersão é aplicada em movimentos rotativos com um feltro sobre a superfície polida com o objetivo de preencher os poros que foram abertos durante o polimento superficial do esmalte, aumentando o brilho e a resistência ao manchamento do produto acabado. Como requisito de trabalhabilidade, a suspensão deve ser estável durante toda a operação de aplicação, caso contrário é comum a formação de uma “crosta” no feltro de polimento e o surgimento de defeitos superficiais indesejáveis na placa cerâmica (aspecto “queimado” e perda de brilho); o primeiro compromete a operação e o segundo o desempenho do produto acabado.";Concluído;PG Química LTDA;Média;SP;2;Não é CEIS;21/09/2020;CIM-UNIFESP;4;4;Outras indústrias de transformação;Outros bens manufaturados;Manufatura e materiais avançados;Nanomateriais e Engenharia de Superfícies
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;GERDAU ACOS LONGOS S.A.;Grande;RJ;8;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;ELDORADO BRASIL CELULOSE S/A;Grande;MS;8;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;CMPC CELULOSE RIOGRANDENSE LTDA;Grande;RS;21;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;ARCELORMITTAL BIOFLORESTAS LTDA.;Grande;MG;5;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;AB FLORESTAL EMPREENDIMENTOS IMOBILIARIOS,ATIVIDADES FLORESTAIS E PARTICIPACOES LTDA;Grande;MG;3;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;BRACELL BAHIA FLORESTAL LTDA;Grande;BA;13;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;SUZANO PAPEL E CELULOSE S.A.;Grande;BA;22;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;MINASLIGAS S.A.;Grande;MG;3;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;VALLOUREC TUBOS DO BRASIL LTDA.;Grande;MG;4;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;APERAM BIOENERGIA LTDA.;Grande;MG;3;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;VERACEL CELULOSE S.A.;Grande;BA;9;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;CELULOSE NIPO BRASILEIRA S A CENIBRA;Grande;MG;12;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
Tolerância a Seca - Fase 4;As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. A carência de materiais genéticos adaptados à seca também decorre do fato de que, na maioria dos anos anteriores, os eventos de seca não foram tão severos, permitindo a obtenção de boas produtividades com os materiais pouco tolerantes disponíveis, assim o proceguimento do desenvolvimento de genótipos de eucalptos tolerantes a seca é de suma importância.;Concluído;DURATEX FLORESTAL LTDA;Média;SP;2;Não é CEIS;28/04/2023;UFV - Fibras Florestais;4;5;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia Agrícola (verde)
FLOW recomendação inteligente aplicada ao mercado de energia elétrica – uma prova de conceito;"O ambiente de comercialização de energia no Brasil, embora seja livre no que tange à negociação de preços
entre as contrapartes, possui a definição do preço de liquidação das diferenças (PLD) de forma centralizada.
O PLD é o preço ao qual todos os agentes que possuam qualquer exposição em volume de energia (ex.
compras diferentes de vendas) serão liquidados, razão pela qual é o principal orientador dos preços de
negociação da energia no Brasil. A previsão do PLD para as próximas semanas/meses é, portanto,
fundamental à tomada de decisão sobre os melhores momentos para a compra e venda de energia.
O cálculo do PLD é realizado semanalmente de forma centralizada pela Câmara de Comercialização de
Energia Elétrica (CCEE). As informações relevantes sobre as usinas do Sistema Interligado Nacional (SIN) e
as principais limitações de transmissão de energia entre regiões são consideradas. O Brasil possui um
sistema hidrotérmico com forte participação hídrica e importantes reservatórios de acumulação de água,
portanto há um acoplamento temporal entre as decisões, com consequente impacto da decisão de operação
atual na segurança futura do sistema. De forma a garantir que tal impacto seja, em valor esperado,
otimizado, o cálculo do PLD considera cenários de futuras afluências às usinas do SIN e uma projeção de
demanda. O processo do cálculo do preço é realizado por modelos de otimização estocástica que
decompõem o problema e calculam o despacho térmico, hidráulico, fluxos energéticos macro no SIN e o
custo marginal de operação, que é o insumo para o cálculo do PLD.
Do ponto de vista de um agente do mercado, todas as variáveis usadas no cálculo dos PLDs passados até a
semana atual são conhecidos, mas os produtos negociados são contratos para entrega futura de energia, e
nem sempre afetados pelo PLD atual. A previsão do comportamento futuro do PLD é, portanto,
indispensável para a tomada de decisão na comercialização de energia, e engloba o uso de informações
multidisciplinares, como por exemplo a capacidade de geração e transmissão da energia, a meteorologia, a
hidrologia e a própria demanda dos consumidores. As informações disponíveis em sites especializados são
difusas e desorganizadas, até porque eles não têm como objetivo orientar o mercado de energia. Ainda,
também não se encontra de forma organizada informações sobre os produtores e os compradores de
energia elétrica, em particular as suas vontades.
Assim, tanto os atores do mercado de energia quanto a meteorologia, possuem informações qualitativas e
quantitativas relevantes que são muitas vezes ignoradas no processo de compra e venda de energia. Este
projeto visa desenvolver um sistema informatizado que adquira, armazene e processe informações de forma a compor uma plataforma que facilite decisões mais lucrativas no comércio de energia elétrica.";Cancelado;FLOW ENERGY COMERCIALIZADORA LTDA.;Pequena;SC;1;Não é CEIS;24/09/2020;IF-SC - FLN;4;4;Aplicações para serviços e comércio;Plataformas de relacionamento, atendimento e experiência do cliente;Inteligência artificial;Sistemas de Recomendação
Aplicação de agregados siderúrgicos no tratamento de efluentes industriais;O SENAI CIMATEC firmou uma parceria com a Gerdau para desenvolver uma solução inovadora para o tratamento de efluentes industriais. O projeto visa avaliar o potencial do uso de agregados siderúrgicos da Gerdau para a remoção de metais e adequação de pH em efluentes industriais. A iniciativa busca uma alternativa mais eficiente e sustentável aos métodos tradicionais de tratamento em comparação aos produtos de uso comercial. A reutilização dos agregados siderúrgicos da Gerdau contribui para a economia circular e minimiza os riscos ambientais.;Concluído;GERDAU ACOS LONGOS S.A.;Grande;RJ;8;Não é CEIS;07/05/2024;CIMATEC;3;6;Infraestrutura e SIUP;Água e esgoto;Tecnologias químicas;Tratamento Químico de Água e Resíduos
"“EMBRAPII MCE - Desenvolvimento de novos aços para reforço de concreto""";"""Este projeto visa desenvolver aços de baixa liga com propriedades superiores. 0 projeto incluirá a investigação das condições de laminação, propriedades mecânicas e desempenho na aplicação, considerando várias formulações de aços de baixa liga. 0 aço deverá atender às propriedades já estabelecias pela NBR 7480. As formulações mais competitivas serão analisadas em concretos submetidos a envelhecimento natural e acelerado. 0 desempenho também será medido. A tecnologia será incorporada no edifício experimental CICS Living Lab (em construção na Poli USP) e seu comportamento será medido no longo prazo.""";Concluído;ARCELORMITTAL BRASIL S.A.;Grande;MG;52;Não é CEIS;28/09/2020;CICS Poli-USP;4;4;Indústria de base;Indústria siderúrgica e metalúrgica;Manufatura e materiais avançados;Metais Avançados e Ligas Especiais
Tolerância a Seca - Fase 5;"Nas últimas décadas o Brasil tornou-se líder mundial na produção de madeira industrial e na produtividade de florestas plantadas tendo como objetivos a sustentabilidade e a competitividade, para o que o processo de inovação é essencial. Com isso, cada vez mais o segmento consolida sua relevância social e econômica, com uma participação de 1,3% do PIB geral e 6,9% do PIB industrial. A expansão das florestas plantadas é uma realidade, e requer que fatores limitantes, como o baixo índice pluviométrico que gera déficit hídrico, sejam mitigados e melhor entendidos de forma a não comprometer a produtividade das florestas.
As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento de uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. 
Com o recrudescimento da escassez de chuvas nos últimos anos, os materiais menos tolerantes, embora com maior potencial produtivo, vêm se mostrando pouco adequados, podendo afetar significativamente a capacidade de suprimento de madeira das empresas. Por exemplo, no levantamento feito pela EMATER no Estado de Minas Gerais, em 2015, observou-se que em torno de 150.000 ha de plantações de eucalipto foram perdidos, como consequência dessa seca. A possibilidade de novas ocorrências desse tipo são uma incógnita, mas ela aumenta se a previsão de aquecimento global se confirmar, tornando necessário desenvolver materiais genéticos mais tolerantes e com maior produtividade.";Em andamento;GERDAU ACOS LONGOS S.A.;Grande;RJ;8;Não é CEIS;02/02/2026;UFV - Fibras Florestais;5;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia para Solos Áridos e Desérticos (marrom)
Tolerância a Seca - Fase 5;"Nas últimas décadas o Brasil tornou-se líder mundial na produção de madeira industrial e na produtividade de florestas plantadas tendo como objetivos a sustentabilidade e a competitividade, para o que o processo de inovação é essencial. Com isso, cada vez mais o segmento consolida sua relevância social e econômica, com uma participação de 1,3% do PIB geral e 6,9% do PIB industrial. A expansão das florestas plantadas é uma realidade, e requer que fatores limitantes, como o baixo índice pluviométrico que gera déficit hídrico, sejam mitigados e melhor entendidos de forma a não comprometer a produtividade das florestas.
As variações climáticas vivenciadas nos últimos anos têm afetado o comportamento de uma parcela significativa dos genótipos comerciais de eucaliptos utilizados no setor florestal brasileiro. Esse comportamento tem traduzido redução na sobrevivência e na taxa de crescimento de genótipos em regiões com períodos de estiagem mais prolongados. 
Com o recrudescimento da escassez de chuvas nos últimos anos, os materiais menos tolerantes, embora com maior potencial produtivo, vêm se mostrando pouco adequados, podendo afetar significativamente a capacidade de suprimento de madeira das empresas. Por exemplo, no levantamento feito pela EMATER no Estado de Minas Gerais, em 2015, observou-se que em torno de 150.000 ha de plantações de eucalipto foram perdidos, como consequência dessa seca. A possibilidade de novas ocorrências desse tipo são uma incógnita, mas ela aumenta se a previsão de aquecimento global se confirmar, tornando necessário desenvolver materiais genéticos mais tolerantes e com maior produtividade.";Em andamento;ELDORADO BRASIL CELULOSE S/A;Grande;SP;4;Não é CEIS;02/02/2026;UFV - Fibras Florestais;5;6;Produção agropecuária;Produção vegetal;Biotecnologia;Biotecnologia para Solos Áridos e Desérticos (marrom)
